# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
362657:8484,11/25/22 12:32:35,0.083689220,0.080388442,32.961741645
362695:8489,11/26/22 00:41:34,0.136457491,0.128510059,33.090251704
362696:8489,11/26/22 02:52:11,0.609427589,0.585028574,33.675280278
362698:8489,11/26/22 14:10:14,0.083703241,0.080857402,33.756137680
362720:8491,11/26/22 22:59:02,0.372627843,0.355541625,34.111679305
362727:8491,11/27/22 05:16:11,0.001603380,0.001411172,34.113090477
362728:8491,11/27/22 05:21:34,0.150607017,0.143542102,34.256632579
362757:8496,11/27/22 22:14:46,0.021364208,0.019510115,34.276142694
362758:8496,11/27/22 22:43:07,0.087135713,0.082564202,34.358706896
362760:8496,11/28/22 00:16:05,0.295604738,0.282294081,34.641000977
367095:8728,05/06/23 11:29:02,0.117401141,0.110662263,34.751663240
367100:8729,05/06/23 18:09:21,0.069488671,0.065795356,34.817458596
367102:8729,05/06/23 20:28:48,0.016483538,0.015265525,34.832724121
367103:8729,05/06/23 21:02:02,0.014139130,0.012947794,34.845671915
367104:8729,05/06/23 21:31:30,0.193084854,0.185123493,35.030795408
367111:8730,05/07/23 07:24:47,0.055870730,0.052072538,35.082867946
367112:8730,05/07/23 09:19:36,0.257591946,0.246106151,35.328974097
367127:8731,05/07/23 20:42:33,0.099138271,0.092936894,35.421910991
367128:8731,05/07/23 22:54:20,0.002429278,0.002167412,35.424078403
367129:8731,05/07/23 23:01:54,0.001025455,0.000981344,35.425059747
367130:8731,05/07/23 23:05:47,0.043368653,0.041032875,35.466092622
367131:8731,05/08/23 00:12:34,0.039566737,0.038102842,35.504195464
367133:8731,05/08/23 01:12:46,0.083534010,0.080151867,35.584347331
367228:8736,05/08/23 21:46:35,0.058229584,0.054747174,35.639094505
367229:8736,05/08/23 23:25:47,0.011661677,0.010909129,35.650003634
367230:8736,05/08/23 23:44:57,0.000326985,0.000293419,35.650297053
367231:8736,05/08/23 23:48:31,0.007537257,0.006908397,35.657205450
367232:8736,05/08/23 23:59:29,0.322862711,0.310193099,35.967398549
367234:8736,05/09/23 06:33:08,0.130492131,0.125914457,36.093313006
367260:8738,05/09/23 16:06:48,0.052307933,0.049688225,36.143001231
367262:8738,05/09/23 17:32:02,0.090094777,0.083960727,36.226961958
367263:8738,05/09/23 19:23:59,0.004069680,0.003430311,36.230392269
367264:8738,05/09/23 19:31:14,0.230262940,0.219548587,36.449940856
367267:8739,05/10/23 03:37:29,0.066225025,0.061915570,36.511856426
367269:8739,05/10/23 05:33:29,0.010973890,0.009556139,36.521412565
367270:8739,05/10/23 05:48:56,0.288408865,0.273742456,36.795155021
367271:8739,05/10/23 12:08:10,0.030611949,0.029373825,36.824528846
367312:8741,05/10/23 19:23:55,0.045181265,0.042351383,36.866880229
367314:8741,05/10/23 20:55:00,0.006983181,0.006394846,36.873275075
367315:8741,05/10/23 21:11:42,0.259166277,0.248045430,37.121320505
367334:8746,05/11/23 09:40:36,0.092265591,0.084844940,37.206165445
367336:8746,05/11/23 11:40:58,0.066631949,0.063417564,37.269583009
367337:8746,05/11/23 12:49:42,0.299140495,0.287974921,37.557557930
367355:8750,05/12/23 01:30:34,0.000961316,0.000825603,37.558383533
367406:8754,05/12/23 14:38:10,0.161079715,0.151456857,37.709840390
367413:8754,05/12/23 18:13:16,0.429490932,0.405675167,38.115515557
